x,i_f,i_s,Coil1 Flux Linkage,Coil2 Flux Linkage,x-direction Magnetic Force
15,1,2,0.049675628,0.053380384,-2.002781019
16,1,2,0.049786187,0.052841669,-1.475014624
17,1,2,0.049862896,0.052432634,-1.105286653
18,1,2,0.049948353,0.052119108,-0.841950195
19,1,2,0.050007103,0.051876765,-0.645269966
20,1,2,0.050055681,0.05168729,-0.503216558
0,2,2,0.053182083,0.053181181,0.0
1,2,2,0.051867816,0.054565791,2.108477061
2,2,2,0.050777864,0.056421365,4.409734163
3,2,2,0.049728875,0.058670857,6.362022727
4,2,2,0.048813205,0.060836744,6.077485016
5,2,2,0.048156427,0.062475295,4.669692013
6,2,2,0.047681534,0.063534727,2.919704417
7,2,2,0.047421021,0.064000759,-0.036048318
8,2,2,0.047429755,0.063695068,-2.986273629
9,2,2,0.04758495,0.062772953,-4.962423635
10,2,2,0.047893371,0.061348492,-6.65615234
11,2,2,0.048282769,0.059448109,-7.466402916
12,2,2,0.048671542,0.057513557,-6.068066856
13,2,2,0.048973505,0.05597997,-4.40266349
14,2,2,0.049216283,0.054844143,-3.190897157
15,2,2,0.049401915,0.054017946,-2.354505517
16,2,2,0.049532102,0.053390463,-1.738818621
17,2,2,0.049627453,0.052902795,-1.305364278
18,2,2,0.049730639,0.052520161,-0.994960954
19,2,2,0.04980638,0.052217848,-0.759778118
20,2,2,0.049870624,0.051976529,-0.59253626
